Etiqueta,Aspect_Ratio,Densidad
2,0.75,0.5131
2,0.7252,0.5069
2,0.7195,0.517
2,0.713,0.5158
2,0.7117,0.5149
2,0.6906,0.516
2,0.6816,0.518
2,0.6892,0.5042
2,0.6787,0.5063
2,0.6712,0.4958
2,0.6622,0.4976
2,0.6592,0.4888
2,0.6847,0.4804
2,0.6909,0.4894
2,0.7,0.4927
2,0.6909,0.5144
2,0.7078,0.5208
2,0.7215,0.517
2,0.7352,0.512
2,0.7477,0.5108
2,0.7604,0.5084
2,0.786,0.4986
2,0.7953,0.4927
2,0.8,0.4877
2,0.8169,0.4825
2,0.8216,0.4767
2,0.8294,0.4734
2,0.8255,0.4694
2,0.8255,0.4654
2,0.8381,0.4541
2,0.8447,0.4643
2,0.8544,0.4502
2,0.8537,0.4503
2,0.8657,0.4603
2,0.865,0.4608
2,0.8687,0.4635
2,0.8769,0.4665
2,0.8808,0.4643
2,0.9389,0.4834
2,0.9385,0.4845
2,0.9081,0.4679
2,0.9066,0.4831
2,0.9061,0.4902
2,0.8962,0.4807
2,0.9,0.4959
2,0.9,0.4932
2,0.9157,0.4934
2,0.9153,0.4955
2,0.9101,0.4903
2,0.9153,0.492
2,0.9153,0.4905
2,0.8994,0.4758
2,0.9101,0.4596
2,0.9205,0.451
2,0.9045,0.4429
2,0.92,0.447
2,0.9148,0.4383
2,0.9253,0.4435
2,0.9153,0.4354
2,0.9419,0.4417
2,0.9422,0.4396
2,0.9532,0.4451
2,0.948,0.4416
2,0.927,0.4283
2,0.9432,0.438
2,0.9382,0.4458
2,0.9333,0.4447
2,0.9441,0.4503
2,0.9231,0.4522
2,0.9489,0.4797
2,0.933,0.4782
2,0.933,0.4898
2,0.9011,0.5035
2,0.8962,0.5058
2,0.8804,0.5083
2,0.875,0.5066
2,0.8641,0.5106
2,0.8587,0.5079
2,0.8626,0.5175
2,0.8441,0.5054
2,0.8587,0.5052
2,0.8587,0.5057
2,0.8587,0.5089
2,0.8486,0.5101
2,0.8641,0.5112
2,0.8804,0.5043
2,0.8757,0.5004
2,0.871,0.502
2,0.9022,0.4912
2,0.9278,0.486
2,0.9385,0.4711
2,0.9441,0.4672
2,0.9037,0.4467
2,0.95,0.4542
